DATE,DSPI
1960-01-01,371.3333333333333333
1960-04-01,375.7333333333333333
1960-07-01,377.8333333333333333
1960-10-01,379.3666666666666667
1961-01-01,383.6333333333333333
1961-04-01,389.4333333333333333
1961-07-01,396.0333333333333333
1961-10-01,404.1666666666666667
1962-01-01,409.9333333333333333
1962-04-01,415.8333333333333333
1962-07-01,419.2000000000000000
1962-10-01,424.2000000000000000
1963-01-01,429.1000000000000000
1963-04-01,433.7333333333333333
1963-07-01,440.6000000000000000
1963-10-01,449.4333333333333333
1964-01-01,460.4000000000000000
1964-04-01,473.8333333333333333
1964-07-01,481.5666666666666667
1964-10-01,488.6333333333333333
1965-01-01,496.0333333333333333
1965-04-01,504.1333333333333333
1965-07-01,519.8666666666666667
1965-10-01,531.9666666666666667
1966-01-01,541.3666666666666667
1966-04-01,547.2333333333333333
1966-07-01,558.1333333333333333
1966-10-01,569.0666666666666667
1967-01-01,579.3333333333333333
1967-04-01,586.7000000000000000
1967-07-01,597.7333333333333333
1967-10-01,607.2666666666666667
1968-01-01,623.9666666666666667
1968-04-01,640.6666666666666667
1968-07-01,649.4000000000000000
1968-10-01,661.6666666666666667
1969-01-01,669.7666666666666667
1969-04-01,684.9666666666666667
1969-07-01,707.5000000000000000
1969-10-01,721.1333333333333333
1970-01-01,737.1666666666666667
1970-04-01,754.5000000000000000
1970-07-01,774.0333333333333333
1970-10-01,782.2000000000000000
1971-01-01,805.3333333333333333
1971-04-01,826.3666666666666667
1971-07-01,838.8000000000000000
1971-10-01,853.8333333333333333
1972-01-01,866.7666666666666667
1972-04-01,880.8333333333333333
1972-07-01,905.8666666666666667
1972-10-01,949.8666666666666667
1973-01-01,968.7000000000000000
1973-04-01,995.6666666666666667
1973-07-01,1018.4333333333333333
1973-10-01,1050.7000000000000000
1974-01-01,1064.0333333333333333
1974-04-01,1083.9666666666666667
1974-07-01,1114.2333333333333333
1974-10-01,1140.8666666666666667
1975-01-01,1160.4333333333333333
1975-04-01,1228.9000000000000000
1975-07-01,1233.6333333333333333
1975-10-01,1264.1666666666666667
1976-01-01,1293.6000000000000000
1976-04-01,1311.9333333333333333
1976-07-01,1342.2333333333333333
1976-10-01,1372.1333333333333333
1977-01-01,1400.0333333333333333
1977-04-01,1437.3666666666666667
1977-07-01,1479.2000000000000000
1977-10-01,1528.8666666666666667
1978-01-01,1566.1000000000000000
1978-04-01,1615.1333333333333333
1978-07-01,1656.3000000000000000
1978-10-01,1698.7333333333333333
1979-01-01,1751.5666666666666667
1979-04-01,1783.2000000000000000
1979-07-01,1836.0666666666666667
1979-10-01,1884.3666666666666667
1980-01-01,1948.3666666666666667
1980-04-01,1978.6000000000000000
1980-07-01,2047.0333333333333333
1980-10-01,2125.8000000000000000
1981-01-01,2177.0666666666666667
1981-04-01,2215.4666666666666667
1981-07-01,2300.1666666666666667
1981-10-01,2337.0000000000000000
1982-01-01,2372.2000000000000000
1982-04-01,2409.8000000000000000
1982-07-01,2460.3333333333333333
1982-10-01,2496.5333333333333333
1983-01-01,2542.2666666666666667
1983-04-01,2583.8333333333333333
1983-07-01,2656.7666666666666667
1983-10-01,2732.4666666666666667
1984-01-01,2815.0333333333333333
1984-04-01,2888.2000000000000000
1984-07-01,2948.5333333333333333
1984-10-01,2991.2333333333333333
1985-01-01,3019.2333333333333333
1985-04-01,3104.4333333333333333
1985-07-01,3120.1333333333333333
1985-10-01,3176.5000000000000000
1986-01-01,3242.4000000000000000
1986-04-01,3279.7333333333333333
1986-07-01,3315.4333333333333333
1986-10-01,3335.9333333333333333
1987-01-01,3392.3000000000000000
1987-04-01,3389.6333333333333333
1987-07-01,3483.1333333333333333
1987-10-01,3563.8666666666666667
1988-01-01,3651.1000000000000000
1988-04-01,3733.6333333333333333
1988-07-01,3818.1000000000000000
1988-10-01,3893.5000000000000000
1989-01-01,3980.9000000000000000
1989-04-01,4021.3333333333333333
1989-07-01,4071.7333333333333333
1989-10-01,4139.1666666666666667
1990-01-01,4232.9000000000000000
1990-04-01,4302.9000000000000000
1990-07-01,4358.1666666666666667
1990-10-01,4380.5333333333333333
1991-01-01,4417.0000000000000000
1991-04-01,4474.4333333333333333
1991-07-01,4522.0666666666666667
1991-10-01,4590.5666666666666667
1992-01-01,4708.4000000000000000
1992-04-01,4784.1000000000000000
1992-07-01,4835.4666666666666667
1992-10-01,4890.8000000000000000
1993-01-01,4938.6666666666666667
1993-04-01,4987.3333333333333333
1993-07-01,5013.2000000000000000
1993-10-01,5077.1333333333333333
1994-01-01,5128.4666666666666667
1994-04-01,5208.5333333333333333
1994-07-01,5276.8000000000000000
1994-10-01,5377.5333333333333333
1995-01-01,5449.4666666666666667
1995-04-01,5496.3666666666666667
1995-07-01,5568.8000000000000000
1995-10-01,5625.1000000000000000
1996-01-01,5708.9666666666666667
1996-04-01,5799.0666666666666667
1996-07-01,5869.2666666666666667
1996-10-01,5939.1000000000000000
1997-01-01,6020.0333333333333333
1997-04-01,6087.0666666666666667
1997-07-01,6175.3000000000000000
1997-10-01,6286.1666666666666667
1998-01-01,6420.3333333333333333
1998-04-01,6522.0333333333333333
1998-07-01,6607.1666666666666667
1998-10-01,6674.1333333333333333
1999-01-01,6758.7000000000000000
1999-04-01,6801.6666666666666667
1999-07-01,6887.3666666666666667
1999-10-01,7019.0000000000000000
2000-01-01,7199.6000000000000000
2000-04-01,7319.5666666666666667
2000-07-01,7464.0333333333333333
2000-10-01,7556.6666666666666667
2001-01-01,7673.4666666666666667
2001-04-01,7703.5000000000000000
2001-07-01,7883.5000000000000000
2001-10-01,7755.9000000000000000
2002-01-01,7957.5666666666666667
2002-04-01,8080.9333333333333333
2002-07-01,8132.5333333333333333
2002-10-01,8220.4666666666666667
2003-01-01,8285.3666666666666667
2003-04-01,8387.9000000000000000
2003-07-01,8587.0000000000000000
2003-10-01,8652.6000000000000000
2004-01-01,8758.8000000000000000
2004-04-01,8907.9666666666666667
2004-07-01,9009.5000000000000000
2004-10-01,9192.3000000000000000
2005-01-01,9120.3000000000000000
2005-04-01,9261.8000000000000000
2005-07-01,9396.3666666666666667
2005-10-01,9556.1333333333333333
2006-01-01,9783.8333333333333333
2006-04-01,9906.5666666666666667
2006-07-01,9992.3333333333333333
2006-10-01,10097.4333333333333333
2007-01-01,10267.7333333333333333
2007-04-01,10406.1000000000000000
2007-07-01,10482.5666666666666667
2007-10-01,10602.1666666666666667
2008-01-01,10734.0000000000000000
2008-04-01,11061.8333333333333333
2008-07-01,10964.4333333333333333
2008-10-01,10912.4333333333333333
2009-01-01,10830.4000000000000000
2009-04-01,10946.2333333333333333
2009-07-01,10888.2666666666666667
2009-10-01,10988.3000000000000000
2010-01-01,11096.9666666666666667
2010-04-01,11298.8000000000000000
2010-07-01,11382.0000000000000000
2010-10-01,11498.3000000000000000
2011-01-01,11711.6000000000000000
2011-04-01,11803.3666666666666667
2011-07-01,11921.1000000000000000
2011-10-01,11987.4333333333333333
2012-01-01,12252.0666666666666667
2012-04-01,12364.2000000000000000
2012-07-01,12301.8333333333333333
2012-10-01,12715.0666666666666667
2013-01-01,12254.0666666666666667
2013-04-01,12353.2000000000000000
2013-07-01,12447.3000000000000000
2013-10-01,12510.3333333333333333
2014-01-01,12714.4000000000000000
2014-04-01,12931.8666666666666667
2014-07-01,13089.1333333333333333
2014-10-01,13258.2000000000000000
2015-01-01,13380.533333333333
2015-04-01,13487.866666666667
2015-07-01,13598.266666666667
2015-10-01,13664.800000000000
2016-01-01,13782.333333333333
2016-04-01,13841.800000000000
2016-07-01,13968.100000000000
2016-10-01,14123.300000000000
2017-01-01,14353.033333333333
2017-04-01,14538.766666666667
2017-07-01,14692.100000000000
2017-10-01,14871.766666666667
2018-01-01,15133.066666666667
2018-04-01,15349.033333333333
2018-07-01,15563.066666666667
2018-10-01,15770.966666666667
2019-01-01,15988.266666666667
2019-04-01,16061.066666666667
2019-07-01,16210.966666666667
2019-10-01,16367.600000000000
2020-01-01,16518.933333333333
2020-04-01,18071.066666666667
2020-07-01,17580.200000000000
2020-10-01,17319.966666666667
2021-01-01,19584.600000000000
2021-04-01,18342.133333333333
2021-07-01,18348.500000000000
2021-10-01,18382.433333333333
2022-01-01,18247.733333333333
2022-04-01,18501.933333333333
2022-07-01,18881.700000000000
2022-10-01,19178.400000000000
2023-01-01,19880.200000000000
2023-04-01,20164.166666666667
2023-07-01,20320.366666666667
2023-10-01,20455.033333333333
2024-01-01,20695.200000000000
2024-04-01,20878.233333333333
